Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM
52,Texas A&M,9.831798910736794,112.5,102.7,75.6,11,19.59,-1.2197751361579008,0.7183455663665346,8.620146796398416,14.119082116674111
53,USC,15.103082832845573,114.0,98.9,74.0,11,13.07,0.25413535410569654,0.8904199209332454,10.685039051198945,14.101306012799864
54,Oklahoma,17.903774538795318,118.0,100.1,69.8,10,9.66,1.0304718173494147,0.7619560976685001,9.143473172022002,13.966310806151682
55,Villanova,18.4340564868712,117.1,98.7,67.5,10,8.63,1.2255070608588998,0.716951823202842,8.603421878434105,13.900028573741311
56,Colorado,18.397726445961666,121.1,102.7,72.4,10,8.66,1.2172158057452083,0.7189665299584042,8.62759835950085,13.887580205472393
57,TCU,15.079829184875365,109.4,94.4,71.1,10,12.64,0.30497864810942055,0.8843235182518299,10.611882219021957,13.823700333113553
58,McNeese,19.063264824352743,114.2,95.1,70.5,10,4.66,1.8004081030440928,0.5595929610444479,6.715115532533375,13.276910123246845
59,San Diego St.,12.762390898813052,114.2,101.5,72.1,8,13.27,-0.0634511376483684,0.9108338190935861,10.930005829123033,13.055479579554694
60,Notre Dame,15.145412221188977,113.8,98.7,68.6,12,10.49,0.5819265276486221,0.8457550906149315,10.149061087379177,13.012226402007636
61,California,14.432294148287127,112.1,97.7,71.5,10,11.11,0.41528676853589097,0.8700788235489785,10.44094588258774,12.735313313469103
62,Colorado St.,15.647234233861582,121.9,106.3,64.5,10,8.7,0.8684042792326978,0.7954205996339158,9.545047195606989,12.254472989670273
63,Virginia Tech,15.795816870524916,114.3,98.5,72.6,12,7.57,1.0282271088156145,0.7624443244664064,9.149331893596877,12.23727757372724
64,Providence,13.617313987939696,118.8,105.2,75.2,12,10.62,0.37466424849246205,0.8754905675078256,10.505886810093907,12.21814932683056
65,Oklahoma St.,12.83957708624871,112.7,99.8,77.2,10,11.31,0.19119713578108866,0.897574777350516,10.770897328206193,12.046403951201277
66,Arizona St.,14.97965406638707,114.4,99.4,72.0,11,8.59,0.7987067582983838,0.8086948554698382,9.704338265638059,11.984756877929696
67,UCF,14.727643336192358,117.3,102.6,72.6,9,9.45,0.6597054170240448,0.8331826659885968,9.998191991863163,11.950174229530617
68,Oregon,5.810499260901082,110.2,104.4,70.6,10,23.55,-2.217437592387365,0.4351363090691059,5.221635708829271,11.895864348330734
69,Mississippi St.,5.743475976936907,108.2,102.5,71.9,10,21.54,-1.9745655028828866,0.5076297568490734,6.091557082188881,11.723346495071224
70,West Virginia,10.387505712619756,106.7,96.3,66.9,12,12.84,-0.30656178592253047,0.8841290389939338,10.609548467927205,11.538340593121053
71,Wyoming,16.04822543697304,115.6,99.6,71.7,10,-7.37,2.9272781796216303,0.2473615722132121,2.968338866558545,10.687999315056162
72,Dayton,11.531222182654929,109.9,98.4,71.8,11,9.46,0.258902772831866,0.8898604713697776,10.678325656437332,10.510978030788959
73,Kansas St.,12.46412893513488,114.2,101.8,75.8,11,7.85,0.5767661168918601,0.846561193963968,10.158734327567617,10.248792739712918
74,Akron,14.209397224783999,121.6,107.4,75.0,10,5.84,1.0461746530979998,0.7585214477409674,9.102257372891609,10.221365543038477
75,Yale,12.967275859964175,121.1,108.1,68.5,10,6.95,0.7521594824955219,0.8171876630969958,9.80625195716395,9.98806892539692
76,Syracuse,7.63098839873463,105.0,97.3,70.1,10,11.98,-0.5436264501581713,0.8516559332184297,10.219871198621156,9.829139809771913
77,George Mason,12.750614719040144,109.7,96.9,68.3,10,6.15,0.8250768398800179,0.8037513996273713,9.645016795528456,9.509943535676975
78,South Carolina,10.211342174951994,109.3,99.1,68.6,10,8.76,0.18141777186899932,0.898648625572593,10.783783506871115,9.458305086979077
79,Tulsa,15.539137505688316,121.0,105.5,70.8,9,-5.3,2.6048921882110396,0.3261015434345971,3.913218521215165,9.22405047146571
80,Xavier,8.074175807964266,109.4,101.4,72.5,11,9.69,-0.20197802400446663,0.896379285019795,10.75655142023754,8.87304763613134
81,Stanford,9.81037562948265,113.2,103.4,72.8,10,7.76,0.25629695368533123,0.8901665698489697,10.681998838187637,8.75138175450276
82,Northern Iowa,11.448381501852253,102.1,90.7,65.5,9,6.09,0.6697976877315317,0.8314926058076553,9.977911269691862,8.6311349453239
83,Murray St.,13.357860309054018,116.2,102.8,75.8,11,1.74,1.4522325386317523,0.6586583213275241,7.903899855930289,8.500322704497586
84,New Mexico,13.536552381862307,112.5,98.9,71.5,10,2.2,1.4170690477327885,0.6680807078006809,8.01696849360817,8.492153081071406
