date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,Toledo,Valparaiso,-1,200,24,55,0.436,6,15,0.4,15,18,0.833,8,27,35,13,3,2,11,15,69,66.55,103.68
2021-11-09,Valparaiso,Toledo,1,200,26,60,0.433,5,23,0.217,4,7,0.571,4,22,26,13,5,4,9,15,61,68.33,89.28
2021-11-09,Hartford,Wagner,-1,200,17,47,0.362,7,26,0.269,18,25,0.72,8,16,24,8,10,2,18,12,59,68.88,85.66
2021-11-09,Wagner,Hartford,1,200,32,58,0.552,7,18,0.389,6,9,0.667,8,26,34,17,12,3,14,23,77,68.28,112.78
2021-11-09,Oakland,West Virginia,-1,200,22,62,0.355,3,23,0.13,6,9,0.667,18,23,41,7,9,1,24,22,53,72.28,73.33
2021-11-09,West Virginia,Oakland,1,200,23,58,0.397,4,21,0.19,10,18,0.556,10,22,32,15,11,7,14,13,60,70.55,85.05
2021-11-09,Bowling Green State,Western Carolina,-1,225,25,74,0.338,5,34,0.147,16,22,0.727,13,33,46,8,9,4,15,21,71,86.45,82.13
2021-11-09,Western Carolina,Bowling Green State,1,225,26,70,0.371,12,34,0.353,15,27,0.556,17,33,50,19,8,2,17,20,79,82.83,95.38
2021-11-09,Niagara,Xavier,-1,200,21,53,0.396,7,18,0.389,11,12,0.917,5,23,28,6,6,2,16,17,60,69.7,86.08
2021-11-09,Xavier,Niagara,1,200,21,56,0.375,8,27,0.296,13,21,0.619,11,28,39,13,11,4,13,15,63,67.97,92.68
2021-11-09,Tennessee St.,Alabama A&M,-1,200,30,71,0.423,11,27,0.407,2,5,0.4,13,27,40,12,5,2,14,16,73,74.38,98.15
2021-11-09,Alabama A&M,Tennessee St.,1,200,31,72,0.431,7,17,0.412,13,21,0.619,15,23,38,16,6,1,8,10,82,74.97,109.37
2021-11-09,Marist,American,-1,225,31,68,0.456,4,19,0.211,7,12,0.583,10,26,36,5,6,3,15,20,73,78.7,92.76
