date,team,opponent,location_value,neutral,game_url,game_id
2026-01-29,Furman,Samford,1,0,,2026-01-29__Furman__Samford
2026-01-29,Gardner Webb,UNC Asheville,-1,0,,2026-01-29__Gardner Webb__UNC Asheville
2026-01-29,Georgia Southern,Louisiana Monroe,-1,0,,2026-01-29__Georgia Southern__Louisiana Monroe
2026-01-29,Georgia St.,Louisiana,-1,0,,2026-01-29__Georgia St.__Louisiana
2026-01-29,Hampton,Drexel,-1,0,,2026-01-29__Drexel__Hampton
2026-01-29,Hawaii,UC Irvine,-1,0,,2026-01-29__Hawaii__UC Irvine
2026-01-29,High Point,Presbyterian,1,0,,2026-01-29__High Point__Presbyterian
2026-01-29,Hofstra,Charleston,1,0,,2026-01-29__Charleston__Hofstra
2026-01-29,Idaho,Northern Colorado,-1,0,,2026-01-29__Idaho__Northern Colorado
2026-01-29,Illinois,Washington,1,0,,2026-01-29__Illinois__Washington
2026-01-29,Iowa St.,Colorado,1,0,,2026-01-29__Colorado__Iowa St.
2026-01-29,Jacksonville,Lipscomb,1,0,,2026-01-29__Jacksonville__Lipscomb
2026-01-29,James Madison,Troy,-1,0,,2026-01-29__James Madison__Troy
2026-01-29,LIU,Le Moyne,1,0,,2026-01-29__LIU__Le Moyne
2026-01-29,Le Moyne,LIU,-1,0,,2026-01-29__LIU__Le Moyne
2026-01-29,Liberty,Middle Tennessee,-1,0,,2026-01-29__Liberty__Middle Tennessee
2026-01-29,Lindenwood,Southern Indiana,-1,0,,2026-01-29__Lindenwood__Southern Indiana
2026-01-29,Lipscomb,Jacksonville,-1,0,,2026-01-29__Jacksonville__Lipscomb
2026-01-29,Little Rock,Tennessee St.,-1,0,,2026-01-29__Little Rock__Tennessee St.
2026-01-29,Long Beach St.,UC Riverside,-1,0,,2026-01-29__Long Beach St.__UC Riverside
2026-01-29,Longwood,USC Upstate,-1,0,,2026-01-29__Longwood__USC Upstate
2026-01-29,Louisiana,Georgia St.,1,0,,2026-01-29__Georgia St.__Louisiana
2026-01-29,Louisiana Monroe,Georgia Southern,1,0,,2026-01-29__Georgia Southern__Louisiana Monroe
2026-01-29,Memphis,Florida Atlantic,1,0,,2026-01-29__Florida Atlantic__Memphis
2026-01-29,Mercer,UNC Greensboro,1,0,,2026-01-29__Mercer__UNC Greensboro
2026-01-29,Mercyhurst,New Haven,1,0,,2026-01-29__Mercyhurst__New Haven
2026-01-29,Middle Tennessee,Liberty,1,0,,2026-01-29__Liberty__Middle Tennessee
2026-01-29,Monmouth,North Carolina A&T,1,0,,2026-01-29__Monmouth__North Carolina A&T
2026-01-29,Montana,Portland St.,-1,0,,2026-01-29__Montana__Portland St.
2026-01-29,Montana St.,Sacramento St.,-1,0,,2026-01-29__Montana St.__Sacramento St.
2026-01-29,Morehead St.,SIUE,1,0,,2026-01-29__Morehead St.__SIUE
2026-01-29,NJIT,Albany,-1,0,,2026-01-29__Albany__NJIT
2026-01-29,New Hampshire,UMass Lowell,1,0,,2026-01-29__New Hampshire__UMass Lowell
2026-01-29,New Haven,Mercyhurst,-1,0,,2026-01-29__Mercyhurst__New Haven
2026-01-29,North Alabama,Florida Gulf Coast,-1,0,,2026-01-29__Florida Gulf Coast__North Alabama
2026-01-29,North Carolina A&T,Monmouth,-1,0,,2026-01-29__Monmouth__North Carolina A&T
2026-01-29,North Dakota,St. Thomas,-1,0,,2026-01-29__North Dakota__St. Thomas
2026-01-29,North Florida,Stetson,1,0,,2026-01-29__North Florida__Stetson
2026-01-29,Northern Arizona,Eastern Washington,1,0,,2026-01-29__Eastern Washington__Northern Arizona
2026-01-29,Northern Colorado,Idaho,1,0,,2026-01-29__Idaho__Northern Colorado
2026-01-29,Northwestern,Penn St.,1,0,,2026-01-29__Northwestern__Penn St.
2026-01-29,Oral Roberts,South Dakota,-1,0,,2026-01-29__Oral Roberts__South Dakota
2026-01-29,Penn St.,Northwestern,-1,0,,2026-01-29__Northwestern__Penn St.
2026-01-29,Portland St.,Montana,1,0,,2026-01-29__Montana__Portland St.
2026-01-29,Presbyterian,High Point,-1,0,,2026-01-29__High Point__Presbyterian
2026-01-29,Radford,Charleston Southern,-1,0,,2026-01-29__Charleston Southern__Radford
2026-01-29,SIUE,Morehead St.,-1,0,,2026-01-29__Morehead St.__SIUE
2026-01-29,Sacramento St.,Montana St.,1,0,,2026-01-29__Montana St.__Sacramento St.
2026-01-29,Saint Francis,Chicago St.,-1,0,,2026-01-29__Chicago St.__Saint Francis
2026-01-29,Samford,Furman,-1,0,,2026-01-29__Furman__Samford
2026-01-29,South Alabama,Coastal Carolina,1,0,,2026-01-29__Coastal Carolina__South Alabama
2026-01-29,South Dakota,Oral Roberts,1,0,,2026-01-29__Oral Roberts__South Dakota
2026-01-29,Southeast Missouri,Western Illinois,-1,0,,2026-01-29__Southeast Missouri__Western Illinois
2026-01-29,Southern Indiana,Lindenwood,1,0,,2026-01-29__Lindenwood__Southern Indiana
2026-01-29,Southern Mississippi,Appalachian St.,1,0,,2026-01-29__Appalachian St.__Southern Mississippi
2026-01-29,Southern Utah,UT Arlington,-1,0,,2026-01-29__Southern Utah__UT Arlington
2026-01-29,St. Thomas,North Dakota,1,0,,2026-01-29__North Dakota__St. Thomas
2026-01-29,Stetson,North Florida,-1,0,,2026-01-29__North Florida__Stetson
2026-01-29,Stonehill,Fairleigh Dickinson,1,0,,2026-01-29__Fairleigh Dickinson__Stonehill
2026-01-29,Stony Brook,Campbell,-1,0,,2026-01-29__Campbell__Stony Brook
