Team,Seed,Prob
Tennessee,4,0.104
Tennessee,5,0.238
Tennessee,6,0.253
Tennessee,7,0.212
Tennessee,8,0.101
Tennessee,9,0.053
Tennessee,10,0.022
Tennessee,11,0.002
Tennessee Martin,14,0.062
Tennessee Martin,15,0.447
Tennessee Martin,16,0.124
Tennessee St.,15,0.006
Tennessee St.,16,0.003
Texas,6,0.001
Texas,7,0.017
Texas,8,0.054
Texas,9,0.096
Texas,10,0.127
Texas,11,0.199
Texas,12,0.019
Texas A&M,4,0.002
Texas A&M,5,0.003
Texas A&M,6,0.037
Texas A&M,7,0.071
Texas A&M,8,0.143
Texas A&M,9,0.183
Texas A&M,10,0.188
Texas A&M,11,0.17
Texas A&M,12,0.008
Texas A&M Corpus Chris,14,0.002
Texas A&M Corpus Chris,15,0.006
Texas A&M Corpus Chris,16,0.001
Texas Southern,16,0.04
Texas St.,16,0.001
Texas Tech,1,0.002
Texas Tech,2,0.06
Texas Tech,3,0.26
Texas Tech,4,0.368
Texas Tech,5,0.22
Texas Tech,6,0.072
Texas Tech,7,0.015
Texas Tech,8,0.003
Toledo,14,0.001
Toledo,15,0.008
Toledo,16,0.002
Towson,15,0.004
Troy,12,0.002
Troy,13,0.04
Troy,14,0.178
Troy,15,0.067
Tulsa,8,0.004
Tulsa,9,0.018
Tulsa,10,0.07
Tulsa,11,0.237
Tulsa,12,0.13
Tulsa,13,0.001
UAB,13,0.008
UAB,14,0.001
UAB,15,0.001
UC Davis,14,0.001
UC Davis,15,0.003
UC Irvine,12,0.005
UC Irvine,13,0.175
UC Irvine,14,0.125
UC Irvine,15,0.005
UC Riverside,16,0.001
UC Santa Barbara,13,0.033
UC Santa Barbara,14,0.028
UC Santa Barbara,15,0.001
UCF,5,0.005
UCF,6,0.01
UCF,7,0.052
UCF,8,0.101
UCF,9,0.172
UCF,10,0.177
UCF,11,0.193
UCF,12,0.01
UCLA,6,0.016
UCLA,7,0.064
UCLA,8,0.125
UCLA,9,0.176
UCLA,10,0.198
UCLA,11,0.201
UCLA,12,0.009
UMBC,15,0.007
UMBC,16,0.183
UMass Lowell,16,0.004
UNC Asheville,16,0.044
UNC Wilmington,12,0.145
UNC Wilmington,13,0.251
UNC Wilmington,14,0.004
UNLV,13,0.001
USC,6,0.003
USC,7,0.022
USC,8,0.049
USC,9,0.098
USC,10,0.133
USC,11,0.229
USC,12,0.019
UT Arlington,12,0.011
UT Arlington,13,0.115
UT Arlington,14,0.031
UT Arlington,15,0.001
UT Rio Grande Valley,14,0.006
UT Rio Grande Valley,15,0.022
UT Rio Grande Valley,16,0.006
Utah St.,4,0.014
Utah St.,5,0.091
